,wind_p_max_pu,solar_p_max_pu,load_mw,weight
2022-02-01 05:00:00,0.40035714285714286,0.0004964285714285715,2800.0,28
2022-02-01 06:00:00,0.41178571428571425,0.00018142857142857142,2800.0,28
2022-02-01 07:00:00,0.41821428571428576,0.00010535714285714288,2800.0,28
2022-02-01 08:00:00,0.4082142857142857,0.0005978571428571428,2800.0,28
2022-02-01 09:00:00,0.39642857142857146,0.09771214285714286,2800.0,28
2022-02-01 10:00:00,0.3714285714285714,0.28904107142857144,8000.0,28
2022-02-01 11:00:00,0.35714285714285715,0.5295639285714285,8000.0,28
2022-02-01 12:00:00,0.3489285714285714,0.6363814285714285,8000.0,28
2022-02-01 13:00:00,0.35214285714285715,0.6877703571428572,8000.0,28
2022-02-01 14:00:00,0.3610714285714286,0.7213414285714286,8000.0,28
2022-02-01 15:00:00,0.37892857142857145,0.6674171428571428,8000.0,28
2022-02-01 16:00:00,0.42,0.5512517857142857,8000.0,28
2022-02-01 17:00:00,0.4228571428571429,0.4107975,2880.0,28
2022-02-01 18:00:00,0.4160714285714286,0.12628392857142856,2880.0,28
2022-02-01 19:00:00,0.40321428571428575,0.008633214285714286,4960.0,28
2022-02-01 20:00:00,0.36678571428571427,0.0006689285714285714,4960.0,28
2022-02-01 21:00:00,0.37214285714285716,0.0013264285714285715,4960.0,28
2022-02-01 22:00:00,0.4114285714285714,0.0006771428571428572,4960.0,28
2022-02-01 23:00:00,0.43,0.0005853571428571429,2800.0,28
2022-03-01 00:00:00,0.4574193548387097,0.0007958064516129032,2560.0,31
2022-03-01 01:00:00,0.4790322580645161,0.0006045161290322581,2560.0,31
2022-03-01 02:00:00,0.47870967741935483,0.00046419354838709675,2560.0,31
2022-03-01 03:00:00,0.45129032258064516,0.0003896774193548387,2560.0,31
2022-03-01 04:00:00,0.43387096774193545,0.00043193548387096775,2560.0,31
2022-03-01 05:00:00,0.4232258064516129,0.00037129032258064517,2560.0,31
2022-03-01 06:00:00,0.4603225806451613,0.00014806451612903228,2560.0,31
2022-03-01 07:00:00,0.45806451612903226,9.096774193548386e-05,2560.0,31
2022-03-01 08:00:00,0.45806451612903226,0.051070645161290326,2560.0,31
2022-03-01 09:00:00,0.42806451612903224,0.25499387096774195,2560.0,31
2022-03-01 10:00:00,0.362258064516129,0.4557148387096774,8000.0,31
2022-03-01 11:00:00,0.3561290322580645,0.6437474193548387,8000.0,31
2022-03-01 12:00:00,0.4,0.7528706451612903,8000.0,31
2022-03-01 13:00:00,0.43290322580645163,0.7730190322580646,8000.0,31
2022-03-01 14:00:00,0.49096774193548387,0.7633374193548387,8000.0,31
2022-03-01 15:00:00,0.5061290322580645,0.7211312903225806,8000.0,31
2022-03-01 16:00:00,0.5019354838709678,0.6744016129032259,8000.0,31
2022-03-01 17:00:00,0.5170967741935484,0.4749867741935484,2720.0,31
2022-03-01 18:00:00,0.4806451612903226,0.23053064516129032,2720.0,31
2022-03-01 19:00:00,0.48193548387096774,0.03388677419354839,4960.0,31
2022-03-01 20:00:00,0.47774193548387095,0.0015293548387096771,4960.0,31
2022-03-01 21:00:00,0.4306451612903226,0.0010687096774193547,4960.0,31
2022-03-01 22:00:00,0.3864516129032258,0.0012770967741935484,4960.0,31
2022-03-01 23:00:00,0.4551612903225806,0.0011070967741935484,2800.0,31
